female	isei	w_fstuwt	wnrschbw	high_school	college	one_for	both_for	test_lang	pass_read	id_school	wvarstr
1	37	1224.381	146.02	0	1	1	0	1	1	1	35
1	77	1224.381	146.02	1	0	0	0	1	1	1	35
1	53	1224.381	146.02	0	1	0	0	1	0	1	35
1	30	1224.381	146.02	1	0	0	0	1	0	1	35
1	70	1224.381	146.02	0	1	0	0	1	0	1	35
1	39	1224.381	146.02	0	1	0	0	1	1	1	35
0	34	1224.381	146.02	0	1	0	0	1	0	1	35
0	51	1224.381	146.02	0	1	0	0	1	1	1	35
1	23	1224.381	146.02	0	1	0	0	1	0	1	35
1	59	1224.381	146.02	0	1	0	0	1	0	1	35
1	56	1224.381	146.02	1	0	0	0	1	1	1	35
1	43	1224.381	146.02	1	0	0	0	1	0	1	35
0	49	1224.381	146.02	0	1	0	0	1	0	1	35
0	53	1224.381	146.02	1	0	0	0	1	1	1	35
0	70	1224.381	146.02	0	1	0	0	1	1	1	35
1	28	1224.381	146.02	0	1	0	0	1	0	1	35
0	52	1188.728	105.82	1	0	0	0	1	0	2	35
1	33	1337.318	105.82	1	0	0	0	1	0	2	35
1	43	1188.728	105.82	1	0	0	0	1	1	2	35
0	67	1188.728	105.82	1	0	0	0	1	1	2	35
0	69	1188.728	105.82	0	1	1	0	1	1	2	35
0	23	1188.728	105.82	1	0	0	0	1	1	2	35
1	70	1188.728	105.82	0	1	0	0	1	0	2	35
1	42	1188.728	105.82	0	1	0	0	1	1	2	35
1	33	1188.728	105.82	1	0	0	0	1	0	2	35
1	50	1188.728	105.82	1	0	1	0	1	0	2	35
1	64	1188.728	105.82	1	0	0	0	1	1	2	35
1	30	1188.728	105.82	1	0	0	0	1	0	2	35
0	57	1188.728	105.82	1	0	0	0	1	1	2	35
0	50	1188.728	105.82	1	0	0	0	1	0	2	35
1	71	1337.318	105.82	0	1	0	0	1	1	2	35
0	29	1188.728	105.82	1	0	0	0	1	1	2	35
1	29	1188.728	105.82	0	0	0	0	1	1	2	35
1	56	967.2105	296.95	0	1	0	1	0	0	3	1
1	67	967.2105	296.95	1	0	0	0	1	0	3	1
1	38	967.2105	296.95	1	0	0	1	1	0	3	1
1	40	967.2105	296.95	0	0	0	0	1	1	3	1
1	77	967.2105	296.95	0	1	1	0	0	0	3	1
1	23	967.2105	296.95	0	0	0	0	1	1	3	1
1	69	967.2105	296.95	0	1	0	0	1	0	3	1
1	25	1096.071	296.95	0	0	0	1	0	0	3	1
1	34	967.2105	296.95	0	1	1	0	1	1	3	1
1	23	1096.071	296.95	1	0	1	0	1	0	3	1
1	29	967.2105	296.95	1	0	0	1	1	0	3	1
1	23	1096.071	296.95	1	0	0	1	0	0	3	1
1	52	287.0575	65.9	1	0	0	0	1	0	4	5
1	45	287.0575	65.9	0	1	0	0	1	1	4	5
1	25	287.0575	65.9	0	1	0	0	1	0	4	5
0	23	287.0575	65.9	0	1	0	1	0	0	4	5
1	30	287.0575	65.9	0	1	0	0	1	0	4	5
0	67	287.0575	65.9	0	1	0	1	0	1	4	5
1	67	287.0575	65.9	0	0	1	0	0	0	4	5
0	57	287.0575	65.9	1	0	0	0	1	1	4	5
1	30	287.0575	65.9	1	0	1	0	1	0	4	5
1	77	287.0575	65.9	1	0	0	0	1	0	4	5
1	34	520.9468	49.94	0	1	0	0	1	0	5	5
1	24	520.9468	49.94	1	0	0	1	0	0	5	5
1	30	520.9468	49.94	0	0	0	1	0	0	5	5
1	29	520.9468	49.94	0	1	0	0	0	0	5	5
0	30	520.9468	49.94	0	1	0	1	1	0	5	5
0	26	520.9468	49.94	0	1	0	1	1	0	5	5
1	26	520.9468	49.94	0	1	0	1	0	0	5	5
0	34	516.0535	27.08	1	0	0	1	0	0	6	7
0	30	516.0535	27.08	1	0	0	0	1	0	6	7
0	30	595.1466	27.08	1	0	0	0	1	0	6	7
0	68	516.0535	27.08	0	1	0	0	1	0	6	7
0	24	595.1466	27.08	0	0	0	1	0	0	6	7
1	53	516.0535	27.08	0	1	0	1	0	0	6	7
0	39	595.1466	27.08	1	0	0	1	0	0	6	7
0	37	595.1466	27.08	1	0	1	0	1	0	6	7
0	34	516.0535	27.08	1	0	0	1	0	0	6	7
1	53	516.0535	27.08	0	1	0	1	0	0	6	7
0	34	641.114	15.41	1	0	0	0	1	0	7	8
1	32	555.912	15.41	1	0	0	1	0	0	7	8
0	21	555.912	15.41	1	0	0	0	1	0	7	8
1	53	641.114	15.41	1	0	0	1	0	0	7	8
1	30	555.912	15.41	0	0	0	1	0	0	7	8
1	30	641.114	15.41	1	0	0	1	0	0	7	8
1	38	641.114	15.41	0	1	0	0	0	0	7	8
1	30	555.912	15.41	0	1	0	1	0	0	7	8
0	19	555.912	15.41	0	0	0	1	0	0	7	8
0	29	555.912	15.41	1	0	0	0	1	0	7	8
1	30	555.912	15.41	1	0	0	1	0	0	7	8
0	21	555.912	15.41	1	0	0	0	1	0	7	8
0	56	1354.76	117.2	1	0	0	0	1	0	8	1
0	38	1354.76	117.2	1	0	0	0	1	1	8	1
0	69	1354.76	117.2	0	1	0	0	1	1	8	1
1	67	1354.76	117.2	0	1	0	0	1	0	8	1
0	68	1354.76	117.2	0	1	0	0	1	1	8	1
